                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4925,                  2.065,                 1.5159,                0.48223,                0.49107,                0.45095,                0.20388,                 1.7858,                 3.0385,                 1.9081,             0.00066425,             0.00066425,             0.00066425
                      2,                 1.6358,                 1.9218,                 1.6335,                0.44233,                 0.3659,                 0.3287,                0.14938,                 1.8643,                 2.9489,                 1.9553,              0.0010674,              0.0010674,              0.0010674
